text,domain_id,urgency_score,high_kw_count,med_kw_count,mild_kw_count,text_len
Arsenic levels dangerously high in drinking water. Children showing skin lesions and falling sick.,0,10,1,1,0,97
Death reported near Chas borewell. Villagers consumed contaminated water with toxic levels.,0,10,2,1,0,90
Cholera outbreak in Sahibganj village. Multiple hospitalisations. PHC has no medicines.,1,10,2,0,0,86
Three deaths from cholera epidemic in Pakur. No medical team deployed. Toxic water source identified.,1,10,3,0,0,99
Fatal road collapse near Seraikela killed two people. Emergency services not responding.,5,10,2,0,0,86
Arsenic poisoning in tubewells at Chas block. Acute symptoms in children. Hazard to entire community.,0,10,3,0,0,97
Epidemic spreading in flood-affected Sahebganj. Multiple casualties reported. No ambulance available.,1,10,2,1,0,97
Toxic chemical leak from factory near Jamshedpur river. Fish dying. Acute health hazard.,6,10,3,0,0,86
Bridge collapsed on highway near Bokaro. Fatal accident. Emergency vehicles cannot pass.,5,10,2,0,0,86
Death of pregnant woman due to no ambulance. Maternal care absent in Latehar block.,1,10,1,1,0,82
Poison found in village water tank in Giridih. Entire hamlet sick. Emergency declared.,0,9,2,0,0,80
Outbreak of dengue in Ramgarh town. Five deaths. Hospital beds full. No fogging done.,1,9,1,1,0,83
Arsenic contamination reported in tubewell water at Chas block. No safe water alternative.,0,9,1,1,0,89
Emergency: borewell pump collapsed. 200 families without water during heatwave.,0,9,1,0,0,78
Toxic mine water discharge into river. Fishing communities showing acute symptoms.,6,9,2,0,0,80
Malaria outbreak near Chaibasa forest villages. No anti-malarial drugs at health centre.,1,9,1,1,0,86
Dam wall showing cracks near Hazaribagh. Acute flood hazard for downstream villages.,0,9,2,0,0,80
Collapsed school building in Pakur. Students trapped. Casualty feared.,3,9,2,0,0,66
Coal mine fire causing toxic fumes near Dhanbad residential area. Emergency evacuation needed.,6,9,2,0,0,92
Fatal electrocution from collapsed power line in Ramgarh village. Hazard to pedestrians.,5,9,2,0,0,84
Flood waters mixing with sewage in Sahebganj. Waterborne disease outbreak risk very high.,4,8,0,2,0,88
Dengue cases doubling every week in Ramgarh. Fogging not done. No beds in hospital.,1,8,0,1,0,81
Maternal death occurred due to delay. Ambulance took 4 hours. Broken road to hospital.,1,8,0,2,0,83
Drought has completely destroyed kharif crop in Palamu. Farmers have nothing to eat.,2,8,0,1,0,80
Pregnant woman could not reach hospital. Road broken and flooded. Delivered at home.,1,8,0,3,0,80
Contamination from factory effluent affecting drinking water source of 5 villages.,0,8,0,1,0,80
Malaria cases rising in tribal hamlets near Chaibasa. PHC has zero stock of medicines.,1,8,0,1,0,83
Flood damaged all roads cutting off our village. No emergency supply reached for 6 days.,5,8,0,1,0,87
TB patient has stopped taking medicine. Shortage of drugs at DOTS centre in Koderma.,1,8,0,1,0,83
Pollution from burning coal waste causing breathing problems in Jharia township.,6,8,0,1,0,75
Severe drought in Chatra district. All borewells dry. Shortage of drinking water for 3000 people.,0,8,0,2,0,96
Mercury contamination found in stream near Ramgarh gold processing area. People falling ill.,6,8,0,1,0,87
Anemia very high among pregnant women in our block. Iron supplements out of stock for 2 months.,1,7,0,2,0,90
Water turbidity very high from treatment plant. Chlorine shortage disrupted supply.,0,7,0,2,0,80
Crop failure due to untimely rainfall. Farmers requesting drought relief urgently.,2,7,0,1,0,79
Dengue surveillance absent in our municipality. Mosquito breeding sites not cleared.,1,7,0,1,0,82
Broken bridge making transport impossible for 3 villages since last monsoon.,5,7,0,1,0,73
Food shortage in tribal hamlet. ICDS food supply disrupted for 6 weeks.,1,7,0,1,0,69
Fluoride in groundwater causing dental and skeletal fluorosis in Koderma villagers.,0,7,0,0,0,80
High tension electric wire snapped and lying on road. Risk of electrocution for children.,5,7,0,0,0,85
Open drain overflowing into homes during rain. Pollution affecting 30 families in Ranchi.,4,7,0,1,0,84
Irrigation canal broken for 3 months. Paddy crop will fail if not repaired now.,2,7,0,1,0,78
Power outage affecting cold storage. Vaccine spoilage risk at sub-centre in Dumka.,8,7,0,1,0,80
Failure of solar pumps affecting water supply to 4 schools and 1 PHC in Latehar.,8,7,0,1,0,80
Maternal health services disrupted as ANM absent for 2 months in our block.,1,7,0,2,0,73
River pollution killing fish in Subarnarekha near Jamshedpur. Families losing livelihood.,6,7,0,1,0,83
